id_facture,montant_total,nb_relances,delai_paiement,client_id,nb_commandes_client,total_achats_client,moyenne_retard_client,type_client,statut_final_facture
1,40581.31,1,21,260,14,59681.5,0.44,client,payée
2,95317.86,0,23,65,1,6082.41,2.75,client,payée
3,74539.42,3,13,72,3,19121.88,11.24,client,impayée
4,61872.56,6,68,476,11,28760.4,8.84,client,impayée
5,19821.77,1,61,129,21,155113.2,18.59,client,impayée
6,19819.48,0,42,220,4,21440.04,6.93,client,partielle
7,10517.94,1,87,131,20,182324.69,1.58,client,partielle
8,87286.73,1,12,64,1,9084.18,0.88,client,payée
9,62105.93,0,10,242,6,46564.45,0.99,client,payée
10,72266.89,1,53,66,28,247247.43,5.41,client,partielle
11,6955.53,1,49,89,10,93801.13,2.41,client,payée
12,97141.44,4,25,313,27,178703.04,2.67,client,partielle
13,84082.05,4,38,357,4,39101.0,9.85,client,impayée
14,25172.22,2,16,459,17,163934.25,6.49,client,partielle
15,22273.37,0,43,366,26,74855.59,1.17,client,payée
16,22423.43,1,10,274,22,136004.89,0.94,client,payée
17,33903.01,1,85,106,21,61230.53,8.63,client,impayée
18,54851.86,2,36,39,5,37365.34,15.35,client,impayée
19,46034.78,0,64,488,2,16244.41,1.02,client,payée
20,32666.77,5,12,124,1,9077.42,15.16,client,impayée
21,63126.02,2,42,121,16,115201.22,2.81,client,partielle
22,18251.92,2,23,84,7,39423.6,11.8,client,impayée
23,32753.74,1,59,209,21,68197.41,6.95,client,partielle
24,39804.38,1,13,263,3,9002.5,11.78,client,impayée
25,48326.65,0,56,439,14,82394.74,5.18,client,partielle
26,79591.72,3,32,112,22,190528.4,0.85,client,payée
27,23969.01,4,66,401,19,152109.25,0.31,client,partielle
28,53852.27,2,52,68,16,144742.63,4.93,client,partielle
29,61279.38,1,43,292,22,186734.28,0.3,client,payée
30,9412.79,3,57,380,6,21862.39,1.35,client,partielle
31,62716.76,1,67,222,25,90064.88,1.15,client,payée
32,21199.79,2,23,1,24,135938.55,2.79,client,payée
33,11179.9,1,37,247,1,3529.25,4.55,client,partielle
34,95144.13,0,68,291,7,24498.56,12.1,client,impayée
35,96735.04,0,30,76,11,45564.55,13.76,client,impayée
36,81797.75,3,49,401,25,54513.44,20.19,client,impayée
37,33938.31,2,5,80,18,118273.34,7.22,client,partielle
38,14278.85,0,79,156,9,46555.69,12.71,client,impayée
39,70002.14,3,70,288,22,85781.66,7.82,client,impayée
40,46814.49,1,39,238,3,9221.37,12.07,client,impayée
41,16593.63,1,81,439,24,135523.25,0.55,client,payée
42,52041.81,1,49,291,23,156760.34,16.3,client,impayée
43,8266.91,1,80,384,28,274014.12,1.34,client,partielle
44,91385.44,2,37,19,8,32244.73,4.2,client,partielle
45,29584.1,0,86,93,8,17685.43,3.64,client,partielle
46,67939.62,0,73,93,23,181426.78,4.16,client,partielle
47,34612.55,1,87,499,1,3881.36,6.05,client,impayée
48,54406.46,1,35,80,29,170349.17,3.88,client,payée
49,56937.48,1,68,260,10,84658.02,5.84,client,partielle
50,22561.17,1,19,405,15,34437.22,3.82,client,payée
51,97110.54,3,50,113,10,31321.54,0.06,client,payée
52,78637.62,2,52,115,26,72420.62,4.94,client,partielle
53,94252.4,2,72,172,8,30958.49,4.05,client,partielle
54,90008.6,0,87,62,21,71069.36,4.41,client,partielle
55,61800.5,0,89,129,29,131451.62,0.01,client,payée
56,92578.05,2,44,339,2,15940.87,3.16,client,partielle
57,13406.79,0,5,307,18,42097.5,10.4,client,partielle
58,23618.37,2,24,116,2,5180.22,2.02,client,payée
59,9296.59,3,26,108,25,162864.77,2.94,client,partielle
60,35906.38,3,58,218,21,129403.64,0.65,client,partielle
61,41924.34,1,81,204,19,110059.41,2.99,client,partielle
62,30778.16,2,69,145,22,134799.97,2.52,client,partielle
63,83730.06,1,19,37,9,71426.8,10.73,client,impayée
64,38891.57,3,65,476,27,178440.63,0.18,client,partielle
65,31688.78,2,83,36,25,141394.63,15.1,client,impayée
66,56556.13,1,18,413,25,66350.2,4.29,client,payée
67,18387.8,2,73,325,27,264550.56,3.77,client,partielle
68,81208.71,0,53,102,10,39146.69,10.87,client,impayée
69,12082.31,1,10,131,27,241738.11,1.06,client,payée
70,98754.26,0,45,399,4,20127.29,1.17,client,payée
71,78363.25,0,35,451,21,156901.33,10.37,client,partielle
72,23877.99,2,68,333,28,157725.06,13.26,client,impayée
73,5524.6,3,55,197,1,4833.3,9.09,client,impayée
74,82468.84,2,63,405,11,76058.84,0.21,client,payée
75,72151.45,2,59,361,26,163510.13,5.28,client,partielle
76,74255.68,0,53,279,22,84908.1,3.0,client,payée
77,78270.68,1,44,47,2,9379.87,8.25,client,impayée
78,12034.24,0,19,214,23,52325.33,0.86,client,payée
79,39054.24,1,74,34,4,14194.68,12.65,client,impayée
80,16007.56,3,69,297,15,70299.96,2.04,client,partielle
81,86994.83,1,11,218,20,195539.41,1.95,client,payée
82,64213.32,0,66,303,25,155417.79,0.98,client,payée
83,36435.31,1,58,159,13,98882.81,0.03,client,payée
84,11038.04,0,56,35,1,7388.8,1.88,client,payée
85,34543.32,0,55,391,22,216636.28,0.8,client,payée
86,35892.42,1,8,488,2,12890.64,6.7,client,partielle
87,74312.59,0,5,301,6,40103.73,7.07,client,payée
88,65567.96,2,70,313,7,30803.93,8.8,client,impayée
89,89285.21,0,39,224,19,133169.91,0.03,client,payée
90,49860.42,4,81,117,4,32247.18,2.17,client,impayée
91,16361.45,1,85,406,18,50868.49,0.03,client,payée
92,72758.25,3,14,111,23,134342.95,3.54,client,partielle
93,77274.58,0,71,326,9,48376.81,11.98,client,impayée
94,58321.33,3,72,149,21,61082.2,2.62,client,partielle
95,78241.88,1,69,237,11,52033.33,10.34,client,impayée
96,51910.58,2,55,359,5,31407.15,14.74,client,impayée
97,54659.62,3,34,49,25,179973.88,1.36,client,payée
98,45616.4,2,43,47,24,103467.72,0.05,client,payée
99,7414.82,0,14,101,1,5810.4,6.73,client,partielle
100,15249.69,1,48,411,2,15745.27,4.33,client,partielle
101,7985.77,2,36,266,23,123693.59,2.13,client,payée
102,65458.99,2,48,86,3,28578.55,2.29,client,partielle
103,34863.82,1,67,428,22,49404.28,0.42,client,payée
104,53314.22,0,65,435,17,69390.91,10.24,client,impayée
105,91218.82,2,69,402,24,73611.12,1.39,client,partielle
106,28682.76,3,45,452,2,12660.65,0.51,client,partielle
107,43986.38,5,85,237,1,3418.99,7.56,client,impayée
108,76777.36,1,16,355,2,15869.45,3.32,client,payée
109,26735.83,1,6,486,8,74774.4,7.2,client,partielle
110,12313.09,1,77,294,13,47548.76,11.61,client,impayée
111,32526.39,1,80,36,26,240606.73,2.41,client,partielle
112,20316.02,4,64,316,14,98756.59,0.28,client,partielle
113,93321.28,1,29,196,21,74956.67,1.46,client,payée
114,81771.44,3,65,237,12,94708.37,0.26,client,partielle
115,65173.36,0,26,74,9,24542.9,0.81,client,payée
116,87788.76,1,60,352,28,211041.2,9.45,client,impayée
117,81348.85,1,25,330,19,168911.72,14.19,client,impayée
118,22724.16,1,59,235,24,230472.2,5.65,client,partielle
119,89793.1,1,44,429,20,48724.98,6.58,client,partielle
120,56237.51,3,55,330,7,17468.39,6.57,client,impayée
121,81706.81,0,26,459,26,245524.22,0.66,client,payée
122,90128.67,3,32,114,10,83167.41,0.24,client,payée
123,35210.33,2,8,231,24,196659.3,5.99,client,partielle
124,15454.93,1,30,137,3,23822.92,0.19,client,payée
125,26653.84,3,64,13,19,147034.1,8.35,client,impayée
126,45575.24,1,27,185,17,117398.31,4.47,client,payée
127,82711.4,2,45,490,8,68015.36,0.6,client,payée
128,86769.41,1,62,82,18,40920.83,5.38,client,partielle
129,5660.45,0,12,367,7,55456.92,4.66,client,payée
130,53520.99,1,55,313,27,179910.18,2.36,client,payée
131,44654.05,1,65,165,7,64817.71,8.51,client,impayée
132,26100.24,0,5,431,23,218292.79,1.82,client,payée
133,16387.21,1,34,11,20,78612.88,2.37,client,payée
134,37073.44,1,21,412,23,191260.66,5.96,client,partielle
135,94576.42,3,27,6,26,251055.74,6.97,client,partielle
136,35704.28,1,28,417,16,66131.14,1.6,client,payée
137,54285.11,1,73,398,15,132130.17,0.08,client,payée
138,71786.8,1,56,175,14,93691.32,0.97,client,payée
139,39544.81,1,75,285,16,82559.38,1.53,client,payée
140,97319.3,1,62,103,27,231899.63,11.77,client,impayée
141,96432.49,3,26,143,24,215097.42,11.2,client,impayée
142,28919.32,3,63,496,9,38350.57,5.4,client,impayée
143,52238.61,1,48,184,23,192181.19,6.18,client,partielle
